ulasan bersih,sentimen
ambil foto wajah g deteksi g bisa tinggal gagal muter foto wajah,negatif
lengkap mudah,netral
ngajuin kartu debit spesial kim jung aplikasi livin pas udah minggu coba nelpon cs kartu direturn alas alamat tidak sesuaiya alamat lengkap sesuaini mah kurir males nyari kalo tidak tau alamat enggak kurir nanya duduk setempatjangan ngomong alamat tidak sesuai sblmnya udah bikin kartu lwt livin antar paket tujuanpdhl alamat,negatif
tolong baik cepat kelas bank lambat baik sistem,positif
tidak bisa login,negatif
aplikasi tolong baik bug,positif
okay banget,netral
tidak bisa daftar livin keterangannyalayanan tidak sedia,negatif
bisa cek nomor rekening ganti pin password tidak,netral
login livin baik,positif
oke sih sayang pemberitahuan uang masuk suka telat jam,positif
salah pin kartu blokir karna mls bank jd pilih opsi telfon coba telfon bot tidak nemu alih layan antri cmn muncul music ajaa dann sampe gada telfon ulang keburu pulsa abis jd bikin kesel,netral
cant run android support,netral
moga manfaat trimakasih,netral
nggak bisa buka livin yakdari siang aman gilir urgent nggak bisa buka tolong gimana,netral
aplikasi tidak bagus rekening tabung aplikasi livin uninstall install ulang buka tabung baru tolong baik,positif
hp vivo ys g tidak bisa buka livin,negatif
baik mlm tidak guna kalah bank bisa nonstop jam mbanking mlm tidak bsa pake,positif
lancar dlm transaksi,positif
isi saldo buka rekening baru bom email masuk perihal kartu debit jam smpai cs malas gimana,netral
error tidak masuk aplikasi login boss,negatif
aplikasi eroro begocris gabisa gabisa bego,netral
aplikasi update gabis buka,netral
kocak baru buka udah gw transfer tidak bisa logini mula bikin udah lanjur aplikasi tidak bisa login tidak tau kartu dll kagak kek bca pas bikin langsung spill kartu rek bikin kagak bingung pas login gampang lupa sandi,negatif
buruk tolong baik tidak bisa masuk aplikasi,negatif
aplikasi tidak bisa stor tunai suruh masuk ulang kartu digit bikin online bisa masuk hadehh,negatif
sangat senang,positif
gmn ibuk sy buka rekening via aplikasi jd baru password sy tidak kartu tlng tunjuk,netral
tolong kasih tau livin tidak bisa buka yahh,negatif
baru tidak bisa transaksi tidak tau kartu blokir,negatif
eror daftar nasabah baru online lengkap photo selfi gagal sampe tidak hubung,negatif
mantap,positif
susah verifikasi wajah aplikasi eek,netral
g bisa buka buka tulis liv mandiri henti,netral
oke,netral
eror tidak bisa masuk aplikasi,negatif
minim staff sampe tidak dapet gilir buka rekening,netral
masuk langsung bug force close app android,netral
keren banget gue favorit tuh bisa bayar kartu debit visa contactless edc mandiri khusus indonesia selain negeri bisa banget loh gue dukung usaha maju,netral
aplikasi bagus alami kendala tidak bisa masuk halaman livin terang livin mandiri henti yaa kak,netral
daftar aplikasi aplikasi tidak bisa bukaterus mintak kartu debitmohon terang admin,negatif
update tidak bisa buka muncul notifikasi hasil hubung koneksi stabil pake wifi,negatif
coba tolong baik buka aplikasi jam loh gimana transaksi pakai livin,positif
transaksi tidak bisa pasu pin tidak bisa transaksi,negatif
sangat guna transaksi,netral
aplikasi bank ribet indonesia,netral
buka rek masalah data sesui ktp verifikasi tidak sesuai,negatif
rekening online banget proses,netral
oke,netral
aplikasi kehapustrus download tidak bisa masuk kartu fisik kartu,negatif
aplikasi livin hapus sy download masuk susah verivikasi wajah ulang ulang g bs masuk masuk arah adu kamaa error kontak whatsapp g respon g,negatif
baik,positif
alhamdulillah gampang kirim gampang bisa cek saldo langsung mudah episensi guna tidak erti,netral
baik password kali lupa password udah blokir,positif
rekening berkalikali gagal yeay yeah mulu tidak muncul rekening nyebelin tidak ngerti darurat huft,negatif
susah verifikasi wajah tidak aplikasi internet stabil cuaca cerah siang tidak bisa buruk banget,negatif
bagus,positif
bagus,positif
layan lambat,negatif
selesai pinjam ksmnya k tidak ad kirain udah selesai terima kasih,netral
bln lebih masuk nomor kartukode otp endingnya layan tidak sedia sementarapayah,netral
aplikasi ngelag mulu cuk,netral
kecewa aplikasi bank mandiri transaksi ku gagal saldo tidak pemberitahuan bank mandiri gila,negatif
tabung bank mandiri sangat nyaman,netral
mantu,netral
otp verifikasi foto tidak bisa suruh bank mandiri bank mandiri langsun suruh surat aju ajuain bank suruh nunggu baru bisa otp verifikasi lebih coba tidak bisa coba tidak bisa gimana solusi,negatif
payah aplikasi gangguantiba tidak bisa gilir temen bisa kocak aplikasi tolong baik,netral
baru buka rekeninghari kemarin langsung jaditapi pas buka aplikasi lupa paswordpin aplikasinyaterus arah isi nomor kartu kartugimana milik kartu kredit gimana benerin,netral
mohon baik niat mudah sulit login app livin susah udah cs tolong cs aktivasi livin cs g bisa suruh nyoba coba daftar g bisa gmn,positif
dev tolong baik livin mandiri tidak bisa login login aplikasi,netral
bagus muas,positif
mantap,positif
tidak bisa buka,negatif
aplikasi taik daftar susah banget,netral
verifikasi wajah gagal,negatif
tidak bisa daftar,negatif
banget nunvgu tuk vicall puluh menit,netral
udah tidak bisa livin transaksi bank tolong csterusan bilang tidak bisa kendala haduh,negatif
pas ganti hp tidak bisa login setel verif wajah hasil hubung aneh internet cepet,negatif
,netral
daftar,netral
gimana aplikasi force close,netral
aplikasi bagus mohon baik apkliasi elor,positif
pas selpi poto tidak bisa,negatif
aplikasi jempol,netral
sangat bagus aplikasi mudah,positif
mntap,netral
yah uda hari tidak bisa buka terussampe bolak uninstal tidak bisa tidak pemberitahuan ganggu,negatif
oke,netral
transaksi cepat tidak ribet say sangat bantu butuh,positif
rekening baru apply proses selesai,netral
top emoney tidak terupdate saldo mohon bantu kemarin emoney top dana tidak bisa saldo potong tolong mandiri gimana,netral
mohon baru buka rek baru verifikasi ektp bisa kamera sangat susah login pakai debit baru,netral
sangat mudah erti,netral
x proses daftar ulang rekening proses banget kaya gitu lelet banget gatau,netral
mohon maaf bintang bicara masak buka rekening baru pakai aplikasi online x jam tidak bisa ngulang kecewa,negatif
slalu terbokir,netral
lancar,positif
jam malam suka errorpayah,netral
masalah subuh top transfer tidak bisa,netral
sayang malem maintenance tidak ubah mang maintenance asli mudah cepat kecuali malam,positif
livin mandiri sulit orang mlm saldo males nyimpen livin,netral
paksa pakai livin gajih ubah bank mandiri brimo livin banget ribetnya lupa password masuk nomor kartu debit kartu digital screenshot kartu,netral
bagus,positif
dipangkalanbun kalimantan atm error sengaja maintenance,negatif
bagus,positif
bagus banget sangat bantu,positif
bagus,positif
ntah kartu simpel tidak bisa login livin aneh,negatif
parah banget sih jam ajah narik dana kaga bisa mulu kudu nunggu jam malem baru bisa parah narik dana parah parah,negatif
andal banget,netral
sy baru bikin hp dipake main anak pencet jd g bisa masuk bikin sandi ulang masukin nomer kartu sy bikin via online sy kartu,netral
susah banget verfikaai wjah berulangmasih tidak bisa,negatif
livin login hasil login pagi bgtuu sumpah kecewa bangtt,negatif
customer baru bank mandiri login akun ngak bisa karna akses blum buka buka akses kali atm mandiri ngak bisa login kendala akses blum buka develornya tolong apknya baik,positif
nomor telepon hilang tidak bisa pake living aju ganti nomor telepon kantor cabang tidak bisa masuk living,negatif
login verivikasi wajah gagal hp normal kamera jernih jaring aman,negatif
force close,netral
sangat bantu,netral
susah masuk,netral
skrng tidak bisa login,negatif
aplikasi sangat guna,netral
susah masuk,netral
livin tidak bisa buka alas perangkat hp tidak resmi,negatif
kenap seriap masuk selaly baik urgen pake tolong baik kaya gin susah pake bukqn mudah ribet sulit,positif
sistem livin mandiri handphone tolong baik jaring ngecek bayar kartu kredit sistem jaring trouble eror tidak tau update baru bayar kartu kredit warning banget nech bank mandiri sistem jaring suka trouble eror thank,positif
versi bisa notif utk update versi baru apli tidak bisa ket prangkat hp tidak dukung nasabah beli hp baru,negatif
kartu atm eror narik uang aplikasi livin ngebug tidak hape compatible hape aplikasi bca cimb aplikasi livin tidak bisa aduh tidak mana nama bumn ruwet ruwet,negatif
tidak bisa aplikasi sih sebab,negatif
tidak bisa daftar,negatif
susah buka livin,netral
livin tidak bisa buka bisa buka bilang akun aman sesuai perintah tidak bisa banking mobile aman,negatif
mohon tingkat aman log jam histori buka parah login jam siang jam jam sore history buka aplikasi bank belah menit udah login ulang,negatif
jos,netral
aplikasi blokir telp mahal pake indosat tidak sambung tidak lebih mudah kantor atm maintenance terang kecewa mandiri bisa tarik otomatis uninstall livin mandiri bank mudah nasabah,negatif
login pake nomor hp tidak bisa,negatif
tidak bisa login livin mandiri terang layan tidak sedia suruh kantor cabang bank posisi negeri tolong solusi masalah login udah masuk nomor hp,negatif
gaje banget banget gabisa login,netral
tidak bisa login lengkap bisa blokir,negatif
coba verifikasi wajah sekian kali bisa guna mudah fitur sedia lumayan,netral
gagal daftar,negatif
tolong bantu min app livin tidak program pinjam ksm,netral
layan sangat,netral
tidak menu login aplikasi hapus tidak bisa login ulang,negatif
good,netral
biar saldo ngendap nggak rb gimana min,netral
sangat bantu,netral
sangat bantu sgala perlu hari dg mudah trimakasih,netral
kaga bisa login,netral
bagus,positif
tidak bisa masuk mulu,negatif
aplikasi eror udah foto e ktp tinggal verifikasi wajah suruh ulang aplikasi begok,netral
kartu kirim kirim,netral
buruk tidak bisa masuk masuk langsung,negatif
trimakasihtapi lupa paswordnyaikon sidik jari kadang hilang tampilanmungkin keamananjadi ganti pasword,netral
oke goedd,netral
bagus,positif
oke ganggu transaksi malam gagal,negatif
kenapaa livin tidak bisa diinstal jadi bingung pdahal kmaren bisa tidak bisa lagi kokgituh,negatif
layan buruk tidak solusi lempar debit potong debit,negatif
oke,netral
tidak bisa tarik kartu error nomor tidak daftar pas ganti nomor app error nomor daftar,negatif
tolong udah minggu ganggu aktifitas sangat ganggu,netral
xiaomi tidak bisa,negatif
bantu livin gx bisa fransfer,netral
tolong bi fast gratis,netral
sangat,netral
kesal aplikasi saudara butuh transfer darurat daftar transfer saudara orang transfer hilang tidak daftar transfer,netral
good,netral
oke,netral
tingkat bank mandiri lets go,netral
udah jam nyampe jam tidak transfer yaa,netral
heran aplikasi malem ganggu gavilang ilang sakit,netral
ganggu jam atas transfer ganggu mulu,netral
apliksaih parah jm malam tidak bisa transfer sakit apliksih gin,negatif
baik,positif
baik,positif
livin sampah bayar tunda saldo potong sampah,negatif
aplikasi inikenapa engak bisa buka kasihan anak tw binggung kerna duit dalam aplikasi je eror tolong anak dibantutolong plaes karn hidup anak rantau,netral
maintanance,netral
aplikasi sangat bantu,netral
top bikin kesel sh min nomor tetep tidak bisa,netral
maintenance malam sangat ganggu,netral
aplikasi jam gin maintenance,netral
sistem kagak pinter gedek,netral
sy kecewa aplikasi tidak fitur pinjam serba gunanyapadahal biaya transaksi mahal sy transaksi dg alpikasi tidak nongol fitur pinjam serbagunanyasy kecewa udah pakai livin,negatif
dah login susah pake tulis sistem operasi tidak dukung pas bank hp masalah sekali udah ganti hp hp infinix hot pro tolong developer sebab capek gonta ganti hp,netral
tolol,netral
ringan angsur panjang angsurangmn,netral
salah sandi langsung blok nmr atm hadeh mn males banget ngaktifin,netral
sangat lancar cepat responnya,positif
registrasi ulang ribet boss bank himbala niat tidak sih bikin aplikasi ruwett,netral
lumayan bantu,netral
aneh tidak bisa buka tidak bisa kerja tutup tuh bank,negatif
tidak bisa download hp redmi note,negatif
susah masuk verifikasi wajah kali masuk buka tidak bisa unistal tidak bisa,negatif
pls atmin gabisa login lupa rek cvc gada opsi,netral
live agent whatsapp tidak jam standby hu ganti pin,netral
login gimana dahh,netral
aplikasi busuk masuk ngak bisa verif bikin emosi,netral
jgn top livin mandiri setey saldo tidak bisa beli pulsa tidak bisa beli emoney tidak bisa tidak bisa hati hati aplikasi simpan uang aplikasi oh bocor aplikasi bank palsu,netral
sangat bagus,positif
,netral
login ulang udah minggu tampil sistem baik baik,positif
gimna bosgak ngerti,netral
kecewa gagal buka livin coba kmrn coba tidak bis transaksimau transfer tidak bisa atm dekat haduhh tolong donk baik kendala,negatif
kartu kredit digital daftar baru aktif bisa dipakaipengalaman bayar pakai qris tidak sengaja atur bayar pakai kredit baru aplikasianehnya langsung bisa pakai aktivasipenutupan bankmenyusahkan,netral
tolong evaluasi aplikasimassa logout akun sendri masukin password lagiterus lupa password pas masuk nomor kartu kartu kirim,netral
tidak download,netral
moga paylater aplikasi livin,netral
kagak bisa masuk menu error gimana aplikasi,negatif
ribet tiru mobile bca top ewallet minimal rb bisa minim rb haduh jerat cr uang,positif
sangat bantu bentuk pinjam sayang caramengambil pinjam tidak cuman ansurankadang angsur kembali nunggu bayar jatuh tempo,netral
aplikasi aneh tidak bisa narik uang,negatif
susahlog ingk pilih log inribet,netral
lupa password tidak bisa cek totorial tidak bisa daftar baru ulang menu tolong solusi,negatif
livin tidak hubung udah komplain wa email mandiricare jawab hasil copy paste tidak solusi orang beda email tangan orang beda kali balas,netral
anehpaketan adawifi lancartp gagal hubung,negatif
good,netral
tidak logout tulis selamat aplikasi livin mandiri pilih rekening mandiri debitkredit mandiri tidak logout kemarin tidak bisa login tolong gimana,negatif
sangat puas,positif
mantap skrng ganggu kah,positif
firtur aplikasi pinjam dana,netral
kalok topup dana sukak eror,netral
dipake maintenance ros,netral
aplikasi buruk daftar rekening langsung,negatif
sangat bagus,positif
livin tidak pinjam ksm mohon bantu,netral
kali buka aplikasi android force close gimana bisa dipake aplikasi kesini kacau aplikasi mudah sulit transaksi,netral
bagus,positif
kaya bayar qris saldo sdah potong terang transaksi tunda telpon cs suruh nunggu kerja gila aplikasi,netral
bagus,positif
gampang banget,netral
update sistem operasi android tidak support tidak bisa masuk alas sistem tidak resmi,negatif
moga lancar pindah perangkat tidak bisa data pakai livin pindah perangkat perangkat tua pindah perangkat baru,netral
oke,netral
update aplikasi livin tidak bisa bayar update,negatif
aneh jir pngn masuk password udah ubah pin,netral
aplikasi mudah operasi,netral
cape banget buka rekening gagal hari gagal baik jgn kalah bank biru belah bikin rekening sat set langsung,netral
oke,netral
offline,netral
banyak ganggu,netral
suka bnget eror heran,positif
banyak offline cacad,netral
tidak recommended,positif
tolong baik mentenan ganggu transaksi,positif
bos tolong aplikasi dibenerin udah gabisa masuk gagal sambung udah email respon,negatif
tidak bisa masuk dri kmaren isi pakai nomor debit,negatif
notifikasi transaksi masuk ilang susah transaksi online,netral
mantap,positif
tolong livin stiap jam malem sampe jam malem slalu gabisa transaksi masak sih dlu atm malem gaenak asa pake bcabri tidak malem gin dehh,netral
mantap,positif
sangat bantu,netral
tidak bisa login livin udah masukin nmr kartu laku kartu masukin tgl lahir tidak bisa udah mausinnya udah tidak bisa tolong bank mandiri jgn sulit guna donk tolong baik,netral
oke,netral
tidak bisa langsung login login dasar aplikasi ampas sihh tidak bisa langsung login pake emain pasword haruss masuk kartu handphone dimadukkan kendala tidak bisa login sangat butuh modal aplikasi aplikasi ampas tidak,negatif
good,netral
jam ganggu,netral
tidak bisa login livin,negatif
aplikasi udah foto ktp rekening hasil tampil jd isi saldo gmn,netral
jos banget buka rekening cepet banget,netral
uninstal aplikasi nitip data kak terima kasih team ramah banget sukses,netral
kirim bukti transfer buru buru langsung klik eh muncul iklan masuk iklan bukti transfer tidak bisa cetak ulang tolong koplo bikin interface aplikasi nyusahin,negatif
good,netral
susah pakai transaksi,netral
trima kasih,netral
bagus kadang kendala ganguan moga lebih bagus,positif
aplikasi ganggu nyaman,netral
tolong donk mandiri daftr mandiri lwat onlen skrang daftr tidak bisa,negatif
sangat bagus aplikasi,positif
biaya transaksi min,netral
aplikasi bobrok verifikasi wajah ngulang berkalikali tidak bisa parah,negatif
mendownload app kali app buka app paksa henti,netral
buruksaya tidak bisa bisa masukudh teler tidak bisa bia gimna,negatif
knpa sih aplikasi pindah akun hp baru dah otp tutup sbb sibuk ulang ulang tidak bisa,negatif
login tidak bisa,negatif
tidak bisa buka min,negatif
daftar acoun gagal mulu ulang ulang gagal apa,negatif
lupa pasword ganti pake kartu kartu bom gada bisa isi saldo tolong bisa hp ato gmail,netral
kartu kirim alamat sembarang orang tidak kenal alamat kirim kasih nama akhir angka sangat buruk,negatif
transaksi oke,netral
overall aplikasi bagus respon agen csnya baru tanggap keluh pagi baru balas malam,positif
maaf tlong baik banget loging coba jam jam sore siang,positif
tidak enak hubung berplat merah anggar gedekualitas hancur,netral
alhamdulillah ndk ribet transfer bang,netral
mandiri problem masuk banking jaring hasil hubung,netral
bayarva muncul tulis transaksi tidak proses terusjadinya tidak bisa bayar apa pake aplikasi livin,negatif
aplikasi rusak,netral
tolong pilih akses nomor kartu fisik kartu fisik rekening aplikasi livin mandiri,netral
livin skr tidak bisa buka pakai wifi sii aduh,negatif
gimana pasword blokir kartu hilang,netral
pas apkanya sya buka sal mulu tidak bisa bukak,negatif
livin mandiri tidak bisa bulak hp android,negatif
penuh iklan,netral
buat pasword sangat sulit kali tidak bisa bisa ulang buang abis aplikasi,negatif
daftar tidak bisa layan tidak sedia gimana atas,negatif
tolong nggak nomer rekening kocak oi nggak pesan email lebih baik baik aneh,positif
kewarganegaraan indonesia aplikasi tidak negara indonesia,netral
tidak pinjam ksm,netral
oke bisa layan tap pay kartu hp jaring tidak kendala,netral
ribet bank,netral
transfer tidak bisa,negatif
tidak bisa instal,negatif
coba yachh bagus bintang,positif
aplikasi nyaman bikin rekening ribetnya masya allah nginput nik gagal udah input kerja tidak akurat gagal mencet keyboard ngelag pake menit putus batal bikin rekening langsung hapus aplikasi lebih baik belah,netral
bagus sangat guna batu mudah pembarayaran tidak ribet repot,positif
transfer biaya adminya min udah bangkrut yah,netral
oke,netral
enak pakai tidak ribet,netral
mentok selfi terang buka tidak hasil aplikasi busuk selfi udah muka terang aplikasi sampah,negatif
aplikasi tolong tidak bisa top sinyal kuat kuota unlimited hp pada nomer masuk lantas gulung tikar aplikasi kecewa pis,negatif
aplikasi norak ken ganti bca,netral
payah bari buka livin booting logo livin transaksi kendala koneksi internet tidak masalah pakai wifi paket data payah bintang,netral
aplikasi mantap,positif
mental mulu login,netral
senang nggak yahh notifikasi sms masuk baru download nomor aktif,positif
lupa pasword hrs sdg buku tabung tidak solusi gmn,netral
baik aplikasi gagal masuk kemarin tidak kendala livin inti gagal masuk,netral
please support pay latter kredit card,netral
pinjam tunai,netral
oke cepat,positif
eror tidak bisa buka livinya,negatif
verifikasi wajah kga bisa udah costumer servis kga solusi tolong dlu kga ribet banget kaya gin,netral
tidak bisa jam transaksiaplikasi mandiri tidak bagus tolong baik liat ranting tanda aplikasi tidak bantu mudah transaksi,positif
livin ganggu kh,netral
walah maintenance tidan bisa transaksi,netral
transfer bank bri status hasil uang tidak masuk terima kacau,netral
maintenance malam habis transaksi error aduh aduh,negatif
sangat kecewa aplikasi tidak bisa transaksi malam jam wib situasi urgent jalan lokasi tidak layan atm mesin tolong baik donk systemnya,negatif
b ajaa,netral
livin mandiribaguss,netral
tolong dev tidak bisa masuk akun kartu debit,negatif
bagus,positif
sangat bagus,positif
tidak,netral
malam tidak bisa dipakaikarena mantenancebagaimana bayar malam gaada cashgajadi beli,negatif
keren,netral
susah login,netral
oke,netral
transaksi hasil transfer gilir cek tidak uang masuk tolong baik jelas mandiri,positif
udah dire start tetp ahh tidak bisamalay suruh k bank mandir dekat,negatif
aplikasi lambat kartu debit verivikasi wajah mjnta ampun aplikasi tidak mudah,negatif
tidak paylater min,netral
bagus,positif
livin mandiri tidak fitur ksm power cash gitu udah taun payroll mandiri blum tawar pinjam,netral
juos,netral
aplikasi bagus banget ganti hp masuk livin susah banget,positif
tidak bisa login aplikasi force close,negatif
sebernya lebaran sistem uang libur nihh jam bank tutup jam,netral
lilin sangat bantu jual beli trimakasih livin,netral
dana investasi mas bikin gerah,netral
mudah daftar bank realita foto bisa ngeblur repot suruh langsung bank livinn kocak,netral
bagus,positif
bisa hubung kemarin,netral
aplikasi bank bodoh indonesia sudi turun pakai aplikasi,netral
kecewa,negatif
tidak bukak un instal lagingisi data verifikasi,netral
bank mandiri tolong jelas kartu nak biaya kartu debit rp smpek potong x bulan juni tgl mohon tanggap terimakasih,netral
log gimana suruh masuk nomer kartu pdhal tidak kartu,netral
layan sangat nyaman,netral
alhamdulillah livin mandiri gercep udah baik makasih sigap kasih bintang,positif
baik,positif
verifikasi wajah banget pedahal aplikasi lancar,positif
tidak bisa masuk isi data,negatif
aplikasi sangat jelek,negatif
masuk gabisa baca hasil hubung gimana dongg livin kekgini sih ganggu tidak gin luar negeri susah dah gin,netral
tidak bisa kirim uang seabank e waletsebelum lancar tidak bisa,netral
respon cepat mngenai apl tidak bs,positif
oke,netral
gaji tahan,netral
aplikasi eror bugkhususnya hp samsung zfold tolong baik,positif
dah saldo sy cukup transaksi gagal gagal gagal mulu hedeh sia uang sy kesel,negatif
bank buruk layan call center buruk aplikasi buruk tidak solusi hubung call center tidak respon tidak solusi perlu gaji ogah banget pake mandiri,negatif
livin gimana nih gue ngak bisa login,netral
si lelet si lot cs respon jelek,negatif
maaf livin susah buka,netral
oke,netral
cukup baik,positif
aplikasi susah verifikasi wajah ulang ulang kedip tidak hasil,netral
sempurna dang sangat mudah mudah proses transaksi apa ragu simpan nominal,netral
aplikasi sih bagus sisa saldo livin bang mandiri coba sisa saldo rangin sekian,positif
napa growin mandiri tidak bisa buka,negatif
oke baik,positif
nama rekening tidak lengkap tera ktp nama panjang tidak bank nama lengkap,netral
aplikasi suka eror kadang tidak bisa akses,netral
aplikasi mbanking parah ku pakai,negatif
sangat mudah dlm transaksi mengunakan livin mandiri tks,netral
proper,netral
ruwet,netral
ngirim masukin pswrd eror,netral
livin tidak bisa buka gimana transaksi buku rekening tidak,negatif
bagussangat bantu,netral
,netral
mudah pake aplikasi cuman kekuaranganya tidak aplikasi bank transaksi hasil resi bukti hasil email lapor hasil tujuanya masuk jam,netral
good,netral
uang hilang,netral
maintance jam gila urgency jd hambat serius tidak nyaman,netral
aplikasi konyol lot ribet kagak ganggu tidak angin tidak hujannusahin orang,netral
mbanking payah malam tidak bisa transaksi bikin malu minimarket kasir,negatif
jam malam tidak bisa transaksi aplikasi cct,negatif
maintenance mulu asa malem,netral
tolong topup shopeepay dana gagal saldo kurang top gagal tolong bantu nihh transaksi jam malam error gin,negatif
aplikasi udah bagus mulus banking jelek malem maintenancenya banget urgent banget tidak cash bingung dah transaksi gimana,netral
maintenance malem dengerin keluh nasabah keluh tidak ad tindak dev,netral
fitur tap pay hp tidak bisa buka baca tunggu,negatif
apa aplikasi,netral
sangat mudah layan internet mobile banking bank mandiri,netral
maintenance mulu ah gilir pake butuh banget maintenance,netral
kacau coba masuk livin banking bilang baik,positif
livin mandiri tidak bisa transper coba e wallet bank tidak bisa tolong baik,netral
kwbanyakan maintenance malam,netral
sangat bagus,positif
sangat buru masak iya tidak bisa daftar login pakek hp infinix tidak bisa kode klavikasi wajah kecewa banget,negatif
livin mandiri tidak bisa transfer metode bi fast maintanance livin,negatif
tidak bisa akses mbanking,negatif
livin anh mlm maentance bikin ribet,netral
aplikasi susah masuk,netral
mohon bantu admin daftar livin gagal buku tabungansaya k kantor mandiri tidak selesai nyamasih gagal daftar livin mohon tanggap,negatif
mantap,positif
sangat muas,netral
lot banget masuk aplikasi tidak bisa sampah,negatif
gimna sih transfer dana hasil tapisaldo tidak masuk,netral
mohon bantu login livin mandirisudah login susah registrasi nyatulisannya gagal login mandiri rpt mohon tindak lanjut transaksi bisa lancar aman trimakasih,netral
mandiri nih log masukin nomer kartu skarang bkin rekening tidak pake kartu susah simple tidak bisa bank langsung,negatif
saldo tidak tambah bukti transfer kirim,netral
aplikasi livin login hp baru tidak vermuk k menu masuk krtu atm banget strus,netral
min top dana saldo ud potong saldo tidak masuk akun dana coba responnya cepet min ribu min,positif
bank mandiri sangat baik bisa transfer dana bagus bisa tampil simpan bisa baik,positif
bagus aplikasi,positif
sangat bagus,positif
tolong baik app pakai hp xiaomi baru bilang hp tidak pakai os resmi tidak root sedih tidak bs transaksi gara sensitif banget app,positif
cek mutasi tidak bisa jaring bagus kayak gin ntar hilang duit ganti,netral
livin ganguan tidak nyaman pakai,netral
min isi pulsa aplikasi livin kemaren tuh tidak salah status top hasil gada masuk pulsa nomer udah kali cek nomer tidak salah knpa,positif
eror tidak bisa masuk password,negatif
selamat malam bapakibusaya tidak bisa login dihp daftar dihp terimakasih,negatif
aplikasi apasih gagal mulu gabisa bikin aplikasi tidak bikin transaksi ken mudah ribet pakai bos biru ganggu aplikasi kuning,negatif
mantap,positif
knpa tidak akses aplikasi livin muncul tulis layan baik,positif
knapa fitur notif pemberintahuannya masuk kadang binggung cek transfer orang tuh gabisa cek gabisa lihat masuk bom mohon ka direspon notifnya bisa lebih baik terumakasih,positif
pas intip saldo ingat sistem cek data min,netral
suka eror terang uang masuk uang keluar tidak muncul,positif
registrasi ulang ribet transaksi bolak registrasi ulang,netral
ayo pake alas hp diroot dichek device tidak root tolong baik akses rugi guna hp second tidak bisa akses livin,netral
ad tranfer ngk masuk udah brasil,netral
tidak bisa intip saldo,negatif
oke baangat,netral
aplikasi gw login kgk bisa erorr mulu bilang hari dibenerinnya lhoo kgk bisa mulu gaji tidak mandiri gw ganti bca tidak menit,netral
tutup rekening aplikasi habis terdaftr norekening aplikasi hapus download playstore tidak bisa masuk id paswdnya bilang buka rekening kartu debit bikin ulang rekening terdftar masuk pke kartu kartu tidak dpat baru bikin hpus sma anak bisa tutup rekening dlu baru bkin rekening baru,negatif
habis download buka nggak bisa kemarin coba,netral
mengaalami verifikasi wajah meneruspadahal cobatapi tidak bisaa,negatif
sore log pas masukin nomor kartu bilang kartu blokir kartu aman aman bank tutup sore cuti senin,netral
baru daftar levin mandiri masuk kali nomor rek pakai masuk email tunggu nomor rekening sedan proses,netral
min gimna masuk livin lupa password tidak tau kartu,netral
aplikasi masalah ajah jdi susah login,netral
maka mandiri tidak rekening kecewa masalh mbangking nomer telepon ikat tidak aktif urus cabang urus cabang pas kali rekening tidak mbangking cuman kartu atm tibatiba atm blokir nama riki aprizal saran previkasi otp bisa lawat pesan wa costumer service bisa melaui pesan wa krna call hrus pke pulsa,negatif
tolong tidak dapet email nomer kartu fisik tidak bisa login mohon bantu,negatif
update baru mana tampil saldo,netral
apa nda bisa buka aplikasi ngana gimana ahh,netral
kadang susah log inmeski sinyal kuatpemberitahuan sistem kece ulangwlw hp risetaplikasi apdttetep susah log,netral
mana fitur aktif kartu tidak aktif update kaya gin tambah fitur aktif kartu status tidak aktif,netral
ampun dah perihal ubah pass pass tidak samapernah kepake yaa gimana org gampang lupa blokir,netral
top,positif
uang transaksi hasil rekening terima tidak masuk udah x kayak gin parah mandiri,negatif
tidak bisa login tulis hasil hubung solusi gimana,negatif
livin mudah ama,netral
complete applications easy,netral
livin mandiri lucu culunmasa ngasih code otp angkasedangkan masuk hadehada aplikasi ky giniky bangun daptar ribetgimana klu pinjamcoba benerin,netral
gi sih pas tarik uang tidak bisa udah kirim udah potong masuk,negatif
developer gimana rekening tidak aktif baru isi rekening uang tidak bisa ambil tolong saransolusinya,negatif
tidak bisa teransper gimana marem,negatif
susah verifikasi wajah udah gagal mulu,negatif
aplikasi tidak bisa buka,negatif
sangat manfaat,netral
baru tamba baguss tmba jelaek liat rekening tidak bisa bintang cukupp,negatif
sangat membantuaflikasi bagus mudah canggih,positif
good aplikasi,netral
buka tabung baru tidak bisa abis foto ktp verifikasi abis selesai tidak lanjut isi nomor ottp dll cs,negatif
bank mandiri gimana sie bkin livin susah amatpadahal sy comfir update data cabang mandiri laluttp bisa,netral
transfer valas hongkong lambat jam lebih masuklaporan mandiri suruh nunggu max juni butuh gin ken teriak,negatif
bagus,positif
gampang guna,netral
mantap,positif
gabisa buka aplikasi,netral
kasih saran nih yaa tuh jaman digital coba bikin buku tabung digital unsur bisa screenshot nama nomor rekening info bank unggah data sulit ganti rek ecommerce suruh screenshot livin tolak tidak unsur haduhh,netral
good,netral
kasih bintang data bilang slh sih,netral
sorry bintang dri maleman maintenance mulu stiap masuk app mbangkin kluar sndiri salah alas knapa tidak bgtu percaya bank payah nnti bisa bintang satu ilangin,netral
